idiom,def
rhyme nor reason,a thing which has neither rhyme nor reason makes no sense from either a poetic or logical standpoint
rhyming slang,a type of slang in which  words are replaced by  words or phrases they rhyme with
richard of york gave battle in vain,the phrase richard of york gave battle in vain often shortened to roygbiv  is intended to aid the recall of the colours of the rainbow
riddle wrapped up in an enigma  a,a riddle wrapped up in an enigma is a puzzle  something especially difficult to understand or to solve
ride a cockhorse to banbury cross,ride a cockhorse to banbury cross is a line from  a nursery rhyme the original meaning is unknown and may simply be a nonsense rhyme
riding shotgun,to travel as an armed guard next to a vehicles driver latterly chiefly in the usa  to travel in a cars front passenger seat
riley  the life of,the life of riley is an easy and pleasant life
that rings a bell,awaken a memory
ring a ring oroses a pocketful of posies atishoo atishoo all fall down,"verse
 from a nursery rhyme"
ring down the curtain,bring something to an end
ring the changes,to employ alternative methods
rise and shine,get out of bed and prepare for work
road less travelled  the,"the road less travelled is the 
          unconventional or uninvestigated option more metaphorically it is also used to refer to the life you never had  what might have been had you  made different choices the notion is near
          to what is nowadays called alternative"
road apples,horse dung
road rage,aggressively argumentative and sometimes violent behaviour indulged in by drivers when annoyed by other road users actions
roasted to a turn,cooked just right
rob peter to pay paul,to take from one merely to give to another to discharge one debt by incurring another
rock and roll,the form of popular music that came to prominence in the usa in the 1950s
romeo romeo wherefore art thou romeo,the literal meaning of o romeo romeo wherefore art thou romeo would appear to be where are you romeo in fact using the meaning of wherefore that would have been commonplace in shakespeares day the playright suggested the meaning of for what reason are you romeo
rose by any other name would smell as sweet  a,the saying a rose by any other name would smell as sweet means that what matters is what something is not what it is called
rose is a rose is a rose,the meaning most often attributed to a rose is a rose is a rose is the notion that when all is said and done a thing is what it is this is in similar vein to shakespeares a rose by any other name would smell as sweet however thats not the interpretation given by the author of the phrase  see below
rough diamond,someone who is basically good hearted but lacking social graces and respect for the law
round robin,a tournament in which each contestant plays each of the others
route one,in regard to football route one is a direct form of attack in which the ball is kicked high and long towards the goal in order to stage an attack in wider use it is a generalized term for any direct nononsense means to an end
rub of the green,luck especially in sports and pastimes played on a green surface
rule of thumb,a rule of thumb is a means of estimation made according to a rough and ready practical rule not based on science or exact measurement
rum do,"an
event that is disreputable or strange"
run a mile,distance oneself from physically or more often emotionally the phrases is used in circumstances where a person has made an advance without an expectation of a response but when a response is forthcoming is shown to be unprepared for it and immediately retreats
run amok,to run amok which is sometimes spelled run amuck is to behave in a wild or unruly manner
run of the mill,the ordinary basic article with no decoration or augmentation
run out of steam,run out of energy
run rings around,to easily outrun or outclass and opponent
run the gauntlet,to go through a series of criticisms or harsh treatments at the hands of ones detractors
sacred cow,something too highly regarded to be open to criticism or curtailment
safe as houses  as,completely safe and secure
safe pair of hands  a,"a
reliable if somewhat dull person who can be entrusted not to make a mistake
with a task"
safe sex,what is usually meant by safe sex is sexual activity where precautions eg the use of condoms are taken against the transmission of diseases notably hivaids earlier in the 20th century there have been other interpretations of what was meant by the term for example the avoidance of sex notably for young or unmarried people and birth control methods
salad days,"the
 days of ones youthful inexperience"
salt of the earth  the,people who are described as the salt of the earth are those who are considered to be of great worth and reliability
san fairy ann,a deliberate jokey corruption of the french phrase ãa ne fait rien  it doesnt matter
sandwich short of a picnic,a jokey colloquial term for stupid
save face,lose face  be humiliated lose ones reputation
save ones bacon,escape from injury avoid harm especially to ones body
saved by the bell,saved by a last minute intervention
savoir faire,the instinctive ability to know how to deal with any situation that arises
say cheese,a photographers instruction just before taking a picture in order to make people smile
say goodnight gracie,this was coined as the signoff at the end of george burns shows with his wife gracie allen in 1958
scott sir walter  phrases coined by,there are many sources for the phrases and sayings that colour our language one important source is the bible from which we get by the skin of your teeth from strength to strength and many more whether we view these as english phrases is debatable as the first english translation of the bible was a thousand years or more after the writing of the original biblical texts wycliffes translation circa 1392 is the first version that brought the bible to the englishspeaking world  apart from that small number of scholars who had read the previous latin versions and discussed them in english whatever we think about the englishness of translated biblical phrases even they pale next to the single most prolific coiner of english  shakespeare to use his own words from alls well that ends well
screw your courage to the sticking place,be firm and resolute
scuse me while i kiss this guy,a misheard lyric
sea change,"a
radical change or transformation"
sealed with a loving kiss,the full version of the acronym swalk
season of mists and mellow fruitfulness,autumn in the uk
security blanket,"1 a small familiar blanket or other soft fabric item  carried by a child for reassurance
  2 a form of harness for a babys crib
  3 allencompassing military and political security measures"
see a pin and pick it up all the day youll have good luck see a pin and let it lie bad luck youll have all day,a proverb extolling the virtue of thrift
see red,become angry lose selfcontrol
seek and you shall find,the proverbial saying seek and you shall find means in the biblical sense come to god and your prayers will be answered in a wider literal sense it just means effort will be rewarded
seen better days,to have been more wealthy or in better condition in former times
send packing,send away ignominiously
senior citizen,an elderly person one who is past the age of retirement
sent to coventry,to be ignored or ostracised this behaviour often takes the form of pretending that the shunned person although conspicuously present cant be seen or heard
separate the sheep from the goats,separate the good from the bad
set ones cap at,said of a woman who determines to gain the affections of a man
set your teeth on edge,literally to cause an unpleasant tingling of the teeth more generally the expression is used to describe any feeling of unpleasant distaste
sex and shopping,a type of novel where the plot revolves around the affluent consumer lifestyle and sexual encounters of the characters
sevenyear itch,the inclination to become unfaithful after seven years of marriage
shebang  the whole,all of it the whole thing
shaggy dog story,a lengthy improbable and ultimately pointless story often told in an attempt at humour
shake a leg,rouse yourself from sleep and get out of bed
shakers and movers,people of energetic demeanour who initiate change and influence events
shakespeare phrases and sayings of,william shakespeare  contributed more phrases and sayings to the english language than any other individual and most of them are still in daily use
shall i compare thee to a summers day,shall i compare thee to a summers day one of the most celebrated lines in all poetry is from shakespeares sonnet 18 1609
shanks mareshanks pony,ones legs used as a means of transport
share and share alike,to share and share alike is to give equal shares to all
ship shape and bristol fashion,if something is  shipshape and bristol fashion it is in firstclass order
shit end of the stick  the,to get the short end of the stick is to come off worst in a bargain or contest
shit for brains,extremely stupid
shiver my timbers,an oath expressing annoyance or surprise
short end of the stick  the,to get the short end of the stick is to come off worst in a bargain or contest
shot across the bows,"a
warning shot either real or metaphorical"
shot heard round the world  the,a line from emersons concord hymn later used to denote shots of various forms that had international significance
shot in the arm,"a
stimulus"
shot in the dark,"a
hopeful attempt"
shoot through,to abscond or depart quickly
short shrift,"to
give short shrift is to give little and unsympathetic attention to"
show a leg  see shake a leg,rouse yourself from sleep and get out of bed
show your mettle,demonstrate your true character
shrinking violet,a shy or modest person
shut your cakehole,be quiet
siamese twins,inextricably linked  inseparable previously the term was used as a synonym for the more accurate term conjoined twins
sick puppy a,someone who behaves oddly as a sick puppy might for example a lovesick person who pines after their beloved
sight for sore eyes a,a welcome sight  someone or something you are glad to see
silly billy,i have been watching the 30th cricket test series between england and india and  musing about the oddly named field positions silly midon silly point etc ive watched enough cricket to know that these are positions close to the batsman but wondered why they are labelled silly and whether there might be  an archaic near to meaning of the word as it turns out there isnt silly in this context means what we normally mean by the word that is foolish or emptyheaded anyone who has been hit on the knee or elsewhere by a cricket ball will understand that standing about six feet away from the batsman is just plain silly
silly season,i have been watching the 30th cricket test series between england and india and  musing about the oddly named field positions silly midon silly point etc ive watched enough cricket to know that these are positions close to the batsman but wondered why they are labelled silly and whether there might be  an archaic near to meaning of the word as it turns out there isnt silly in this context means what we normally mean by the word that is foolish or emptyheaded anyone who has been hit on the knee or elsewhere by a cricket ball will understand that standing about six feet away from the batsman is just plain silly
silver lining  every cloud has a,the proverbial saying every cloud has a silver lining is used to convey the notion that no matter how bad a situation might seem there is always has some good aspect to it
sir walter scott phrases coined by,there are many sources for the phrases and sayings that colour our language one important source is the bible from which we get by the skin of your teeth from strength to strength and many more whether we view these as english phrases is debatable as the first english translation of the bible was a thousand years or more after the writing of the original biblical texts wycliffes translation circa 1392 is the first version that brought the bible to the englishspeaking world  apart from that small number of scholars who had read the previous latin versions and discussed them in english whatever we think about the englishness of translated biblical phrases even they pale next to the single most prolific coiner of english  shakespeare to use his own words from alls well that ends well
silence is golden,a proverbial saying often used in circumstances where it is thought that saying nothing is preferable to speaking
silver bullet,a direct and effortless solution to a problem
sitting pretty,comfortably placed or well situated
sixes and sevens  at,a state of confusion and disorder or of disagreement between parties
skeleton in the closet,the expression a skeleton in the closet refers to a secret source of shame potentially ruinous if exposed which a person or family makes efforts to conceal
skid row,a squalid district inhabited by the impoverished and destitute
the skys the limit,there is no apparent limit
sledgehammer to crack a nut  a,to use a sledgehammer to crack a nut means to use disproportionate force or expense to overcome a minor problem
sleep like a top,to sleep like a top is to sleep very soundly
sleep on a clothesline,to sleep on a clothesline is to sleep very soundly
sleep tight,to sleep tight is to sleep well and undisturbed
sleeveless errand,a pointless undertaking
sloane ranger,sloane rangers or latterly just sloanes or sloanies are upper class and fashionconscious but conventional young people living in the more expensive parts of west london
slush fund,money put aside to be used to bribe or influence especially in a political context
smallest room in the house  the,"a euphemistic
reference to a lavatory"
smart casual,smart but informal clothing conforming to a dress code but not uncomfortably so
smoke and mirrors,trickery or deception often in a political context
snug as a bug in a rug,to be as snug as a bug in a rug is to be very comfortable and cosy
so sue me,a defiant challenge for an adversary to escalate a dispute
sods law,the socalled law is usually expressed as if anything can go wrong it will
sold down the river,betrayed or cheated
some are born great some achieve greatness and some have greatness thrust upon em,literal meaning
some men are born mediocre some men achieve mediocrity and some men have mediocrity thrust upon them,literal meaning
someone is walking over my grave,a response to a sudden unexplained shudder or shivering
something for the weekend sir,a coy query asking if a customer wanted to buy a condom
something nasty in the woodshed,something nasty in the woodshed is a traumatic but unspecified incident in someones experience or something  shocking or distasteful that has been  kept secret
something old something new something borrowed something blue,the collection of items that is considered lucky for a bride to take to her wedding
son of a bitch,a general term of abuse for a man
son of a gun,a son of a gun is a rogue or scamp  you are naughty you old son of a gun the phrase is also used although this is uncommon outside the usa as a euphemism for son of a bitch
sorry sight,a regrettable and unwelcome aspect or feature now also used to mean something or someone of untidy appearance
sound bite,a short and easily remembered line intended by the speaker to be suitable for media repetition
sound out,to shirk ones labour to malinger
sour grapes,acting meanly after a disappointment
space the final frontier,the first line of the opening voiceover in star trek
spare the rod and spoil the child,spare the rod and spoil the child is the notion that children will become weak and vulnerable if not chastised physically or otherwise for any wrongdoing
speak of the devil,a reference to someone who appears unexpectedly while being talked about
speak softly and carry a big stick,speak softly and carry a big stick is a proverbial saying advising the tactic of caution and nonaggression backed up by the ability to carry out violent action if required
special relationship,the relationship between the united kingdom and the usa
spend a penny,to use a public lavatory
spick and span,entirely new  fresh or unused
spill the beans,to divulge a secret especially to do so inadvertently or maliciously
spin doctor,a spin doctor is a political press agent or publicist employed to promote a favourable interpretation of events to journalists
spitting feathers,various meanings see below
spring forward fall back,spring forward fall back is a mnemonic relating to daylight saving time indicating that clocks are moved  forward an hour in spring and  back an hour in autumn
square meal,"a
substantial nourishing meal"
squeaky bum time,the tense final stages of a competition
stand and deliver,a demand for money often associated with english highwaymen
stand up guy,"a loyal and
reliable friend"
standing on the shoulders of giants,using the understanding gained by major thinkers who have gone before in order to make intellectual progress
starcrossed lovers,starcrossed means unlucky that is not favoured by the stars
stark raving mad,completely mad delirious
stars and garters  my,a jocular exclamation or expression of astonishment
start from scratch,begin again from the beginning embark on something without any preparation or advantage
steal a march,gain an advantage over an opponent
steal my thunder,someone steals your thunder when they use your ideas or inventions to their own advantage
step up to the plate,step up to the plate is an expression used in baseball meaning enter the batters box to take a turn to bat
stick in the mud,a narrowminded or unprogressive person one who lacks initiative
sticks and stones may break my bones,sticks and stones may break my bones is a response to an insult implying that you might be hurt able to hurt me by physical force but not by insults
sticky wicket,"a
difficult situation"
stiff upper lip,remain resolute and unemotional in the face of adversity or even tragedy
stiffen the sinews,to stiffen the sinews is to by ones own efforts become resolute and purposeful the sinews are the fibrous cords that connect bone to muscle  we stiffen them when we prepare for action
stinking rich,extremely offensively rich
stitch in time saves nine  a,a stitch in time is a timely effort that will prevent more work later
stone the crows,an exclamation of incredulity or annoyance
stones throw,"a
short distance"
stool pigeon,the literal meaning of a stool pigeon is a  decoy bird in the more common figurative meaning a stool pigeon is  a police informer or criminals lookout
storm in a teacup,a tempest in a teapot is a small or insignificant event that is overreacted to as if it were of considerably more consequence
straight as a die,completely straight
straight from the horses mouth,from the highest authority
strain at the leash,to strain at the leash is to be enthusiastic to free oneself from the restrictions that bar ones progress
strait and narrow,a conventional and lawabiding course
stranger danger,a slogan intended to alert children to the risks posed by people they do not know
stranger than fiction  truth is,literal meaning
strike while the iron is hot,to strike while the iron is hot is to act decisively and take an opportunity when it arises
stuff and nonsense,rubbish nonsense also used although less often in recent years as an exclamation of incredulity
stump up,pay for a purchase
such is life,an acceptance of the unpredictable fortunes of existence often spoken with an air of weary resignation
surf and turf,a type of cuisine that combines both meat and seafood especially lobster and steak or restaurants that serve such cuisine
surfing the netsurfing the internetsurfing the web,surfing aka surfboarding is in its literal meaning the riding of a wave while standing or lying on a surfboard
survival of the fittest,the idea that species adapt and change by natural selection with the best suited mutations becoming dominant
suspension of disbelief,the temporary acceptance as believable of events or characters that would ordinarily be seen as incredible this is usually to allow an audience to appreciate works of literature or drama that are exploring unusual ideas
swan song,"a
          swan song is a final composition or performance given before dying or retirement"
swing for you,i will kill you and am prepared to be hanged as a consequence or i will swing a punch at you
swing the lead,to shirk ones labour to malinger
tail wagging the dog  the,an item of minor importance dominating a situation
take a back seat,to take a back seat is take a subordinate or reclusive position
take care of the pence and the pounds will take care of themselves,literal meaning
take down a peg or two,to take or pull or bring down a peg or two is to lower someones high opinion of themselves
take the bit between your teeth,take control of a situation
take the cake,carry off the honours sometimes used to express incredulity for example thats three goals hes missed in one game if that dont take the cake
take the gilt off the gingerbread,remove an items most attractive qualities
take the mickey,tease or make fun of
take the upper hand,take a dominant position
take umbrage,to be displeased or offended by the actions of others
taken aback,to be taken aback is to be surprised or startled by a sudden turn of events
taken for a ride,to be taken for a ride is to be deliberately misled or cheated alternatively and primarily in the usa it means to be  abducted in a vehicle and murdered
talk of the devil,a reference to someone who appears unexpectedly while being talked about
talk the talk,back up ones talk with action
talk through ones hat,talk nonsense especially on a subject that one professes to be knowledgeable about but in fact is ignorant of
talk to the hand,with outstretched vertical palm shut up  ive no interest in hearing what youve got to say
tall story,an untrue and unbelievable story
tanstaafl  theres no such thing as a free lunch,the economic theory and also the lay opinion that whatever goods and services are provided they must be paid for by someone  that is you dont get something for nothing the phrase is also known by the acronym of there aint no such thing as a free lunch  tanstaafl
tattoo phrases and sayings,almost all examples of the written word are found on paper until the late 20th century the only significant alternative was on gravestones we can now add another source  tattoos
tell it to the marines,a scornful response to a tall and unbelieved story
tell me about it,tell me about it is a lighthearted rueful response used when someone wants to say im well aware of that you dont have to tell me
tempest in a teapot,a tempest in a teapot is a small or insignificant event that is overreacted to as if it were of considerably more consequence
test your mettle  see show your mettle,demonstrate your true character
thats all folks,"the catchphrase on the
banner shown at the end of looney tunes cartoons"
thats all she wrote,an articulation of a sudden and unforeseen  end to ones hopes or plans
thats one small step for a man a giant leap for mankind,"these were neil
armstrongs words on first setting foot on the moon in 1969 the line is a strong contender as the most famous  ever to have been uttered"
the ants are my friends theyre blowing in the wind,misheard lyric
the apple never falls far from the tree,the proverbial saying the apple never falls far from the tree or the apple doesnt fall far from the tree expresses the idea that a person inevitably shares traits with or resembles his or her parents or family
the apple of my eye,the apple of ones eye originally referred to the central aperture of the eye figuratively it is something or more usually someone cherished above others
the back of beyond,a lonely forsaken place
the balance of power,"the
distribution of power between nations in such a way that no single state has dominance
over the others"
the balance of trade,"the
difference between the value of the imports and exports that a nation makes"
the bane of my life,the agent of ruin or woe
the bees knees,if something is said to be the bees knees it is excellent  the highest quality
the belle of the ball,the most attractive woman at a social gathering
the best  defense is a good offence,the proverbial phrase attack is the best form of defence expresses the opinion that a preemptive strike is the best way to defend yourself
the best laid schemes of mice and men,the most carefully prepared plans may go wrong
the big apple,"nickname
for new york usa"
the big easy,"nickname
for new orleans usa referring
to the easygoing laid back attitude to life that jazz musicians and local residents indulge in there"
the birds and the bees,the birds and the bees is a  phrase that refers to coy explanations about sex and reproduction that are given to children
the bitter end,"to the
limit of ones efforts  to the last extremity"
the blind leading the blind,"uninformed
and incompetent people leading others who are similarly incapable"
the bread of life,a name used by christians to denote jesus christ
the buck stops here,the slogan the buck stops here is a promise that responsibility will not be passed on to anyone else
the call of the wild,the appeal of nature in the raw
the camera cannot lie,literal meaning
the chickens come home to roost,bad deeds or words return to discomfort their perpetrator
the child is father to the man,the proverb the child is father to the man expresses the idea that the character that we form as children stays with us into our adult life
the collywobbles,"a
state of intestinal disorder usually accompanied by a rumbling stomach for example butterflies in the stomach"
the course of true love never did run smooth,literal meaning
the crack of doom,the sound that heralds the day of the last judgment when god will decree the fates of all men according to the good and evil of their earthly lives
the crapper,"the
 lavatory"
the customer is always right,the customer is always right is a trading slogan that states a companys keenness to be seen to put the customer first the implied suggestion is that the company is so customer focussed that they will say the customer is right even if they arent
the cut of your jib,ones general appearance and demeanour
the dark side,the evil and malevolent aspect of human personality or society often referred to in a lighthearted or comic context
the darkest hour is just before the dawn,there is hope even in the worst of circumstances
the devil has all the best tunes,the devil has all the best tunes is the view that  music especially popular music is predominantly secular rather than religious
the devil incarnate,the devil in human form
the devil is in the details,the details of a plan while seeming insignificant may contain hidden  problems that threaten its overall feasibility
the devil makes work for idle hands to do,the devil makes work for idle hands is one of the numerous variants of phrase that express the idea that trouble or evil arises from not keeping  busy
the devil take the hindmost,a proverbial phrase indicating that those who lag behind will receive no aid
the devil to pay,the devil to pay means serious trouble because of a particular circumstance or obligation
the die has been cast,"the die has been cast means that an
irrevocable choice has been made"
the early bird catches the worm,success comes to those who prepare well and put in effort
the elephant in the room,an important and obvious topic which everyone present is aware of but which isnt discussed as such discussion is considered to be uncomfortable
the emperors new clothes,the label given to any fictional item that viewers have been induced into believing as real
the ends of the earth,the furthest reaches of the land
the exception which proves the rule,normally with these meanings and origins the meaning is wellunderstood or selfevident and the interesting aspect is how where and when the phrase originated this one is a little different  its the meaning that is generally not understood
the face that launched a thousand ships,a reference to the mythological figure helen of troy or some would say to aphrodite her abduction by paris was said to be the reason for a fleet of a thousand ships to be launched into battle initiating the trojan wars
the female of the species is more deadly then the male,see also the list of proverbs
the fifth estate,the fifth power in the land
the floozie in the jacuzzi,the floozie or floosie or floozy in the jacuzzi is the nickname of the bronze statue properly called anna livia previously in oconnell street dublin ireland it personifies the river liffey which passes nearby
the fly in the ointment,a fly in the ointment is a small but irritating flaw that spoils the whole in the 20th century the expression has also come to be used to describe a small flaw that comes to light to spoil  an otherwise faultless plan
the full monty,complete the whole thing
the game is afoot,the phrase the game is afoot means the process is underway for example the teams are on the pitch  the whistle blows  the game is afoot
the game is up,the original meaning was the game is over  all is lost more recently it has come to be used to mean  we have seen through your tricks  your deceit is exposed
the great unwashed,the common lower classes the hoi polloi
the hair of the dog that bit you,the hair of the dog is a small measure of drink intended to cure a hangover
the hairy eyeball,a glance made with partially lowered eyelashes this usually indicates suspicion or hostility but may signal other emotions too
the heebiejeebies,a feeling of anxiety apprehension or illness
the jury is still out,judgement has not yet been finalised on a particular subject especially due to information being incomplete
the land of nod,the land of nod is a mythical  land where we travel to to sleep
the last straw,the final additional small burden that makes the entirety of ones difficulties unbearable
the life of riley,the life of riley is an easy and pleasant life
the living daylights,to beat the living daylights out of someone is to beat them severely to the point where they lose consciousness
the love that dare not speak its name,"a reference to homosexual love although oscar wilde
 denied this in his defense of the charge of gross indecency"
the monstrous regiment of women,a disparaging description often used to describe feminist or rowdy women by their detractors
the more the merrier,the more people who are present the better an occasion or situation especially a party will be
the moving finger writes,the phrase the moving finger writes expresses the notion that whatever one does in ones life is ones own responsibility and cannot be changed
the mutts nuts,"excellent
 the highest quality"
the nth degree,to the utmost degree without limit
the opera aint over till the fat lady sings,nothing is irreversible until the final act is played out
the pip  getgothave,become irritated or annoyed
the pot calling the kettle black,the pot calling the kettle black is a response often given when someone  criticises  another for a fault they also  have themselves
the powers that be,the established government or authority
the proof of the pudding is in the eating,to fully judge how effective something is you need to use it for its intended purpose
the quick and the dead,all souls  alive or dead
the real mccoy,the real thing  not a substitute
the road less travelled,"the road less travelled is the 
          unconventional or uninvestigated option more metaphorically it is also used to refer to the life you never had  what might have been had you  made different choices the notion is near
          to what is nowadays called alternative"
the road to hell is paved with good intentions,the intention to engage in good acts often fails it points up the principle that there is no merit in good intentions unless they are acted on
the salt of the earth,people who are described as the salt of the earth are those who are considered to be of great worth and reliability
the sevenyear itch,the inclination to become unfaithful after seven years of marriage
the shoemaker always wears the worst shoes,artisans work for the wealthy but cannot afford their own produce
the short end of the stick,to get the short end of the stick is to come off worst in a bargain or contest
the shot heard round the world,a line from emersons concord hymn later used to denote shots of various forms that had international significance
the smallest room in the house,"a euphemistic
reference to a lavatory"
the straw that broke the camels back,the final additional small burden that makes the entirety of ones difficulties unbearable
the tail wagging the dog,an item of minor importance dominating a situation
the toast of the town,a person who is widely admired
the third degree,close interrogation
the triumph of hope over experience,a literal view of the subject of remarriage
the upper hand,take a dominant position
the usual suspects,the usual suspects are the people habitually suspected or arrested following a crime
the whole nine yards,the expression the whole nine yards means all of it  the full measure
the whole shebang,all of it the whole thing
the writing is on the wall,the expression the writing is on the wall is used whenever an inevitable result or imminent  danger has become apparent
the wrong side of the blanket,the expression born on the wrong side of the blanket is a euphemism for being born out of wedlock
the year dot,a very long time ago too long ago to be dated
the yellow peril,the supposed danger of oriental hordes overwhelming the west
there is more than one way to kill a cat,the proverbial saying there is more than one way to skin a cat means there is more than one way of achieving an aim
there are three kinds of lies,this saying has a literal meaning it suggests that statisyics can be used to mislead even more than the worst form of untruth
there but for the grace of god go i,i too like someone seen to have suffered misfortune might have suffered a similar fate but for gods mercy
there is no alternative,this is the mantra chanted by dries during the prime ministerial reign of margaret thatcher by which they demonstrated their belief that freemarket capitalism was the only possible economic theory it was said so often amongst them that it was shortened to tina the hardright thatcherites called themselves dries to demonstrate their opposition to the wets that is the onenation tories whom thatcher despised wet was the public school nickname for any boy who showed any sign of caring for his fellow beings
theres an r in the month,"the
weather is cold"
theres method in my madness,reason behind apparent folly or disorder
theres no fool like an old fool,people of mature years who are expected to know better often do outrageously foolish things especially regarding romantic liaisons
theres no place like home,home is the best of all places
theres no such thing as a free lunch tanstaafl,the economic theory and also the lay opinion that whatever goods and services are provided they must be paid for by someone  that is you dont get something for nothing the phrase is also known by the acronym of there aint no such thing as a free lunch  tanstaafl
theres no such thing as bad publicity,there is no such thing as bad publicity is the notion that all mentions in the media aid a persons cause even if they put them in a bad light
theres one a sucker born every minute,there are many fools and dupes in the world
theres one law for the rich and another law for the poor,this proverbial saying express the opinion that the poor are treated harshly by the law whereas the rich with their access to clever lawyers and bribes usually escape punishment
they couldnt hit an elephant at this distance,no information
thick and fast,if something comes thick and fast it comes in rapid succession with little time to respond between events it may refer to physical objects like raindrops or nonphysical like commands
thick and thin,through all forms of obstacle that are put in ones way
thin air  vanish into,disappear without trace
thing of beauty is a joy forever  a,the experience of beauty is blissful and lasting
things that go bump in the night,frightening but imagined supernatural events
think outside the box,think creatively unimpeded by orthodox or conventional constraints
thinking cap,take time for consideration of some question
third degree  the,close interrogation
third time lucky,the belief that the third time something is attempted is more likely to succeed than the previous two attempts it is also used as a good luck charm  spoken just before trying something for the third time
thomas paine  the writings of,no information
thorn in the flesh,a persistent difficulty or annoyance
thou shalt not kill,literal meaning
though this be madness yet there is method in it,reason behind apparent folly or disorder
three score and ten,"three
score and ten is the nominal span of a human life in the days that this expression was coined that span was considered to be seventy years"
three sheets to the wind,very drunk
three strikes and you are out,this slogan was used by us president clinton to publicize his plans for mandatory life sentences for those convicted of a third violent offence
through thick and thin,through all forms of obstacle that are put in ones way
throw in the towel,to throw in the towel or to throw the towel in is to give up to avoid further punishment when facing certain defeat
throw good money after bad,you throw good money after bad when following the loss of some money you to incur a further loss in trying to make good
throw your hat into the ring,make or take up a challenge or demonstrate ones willingness to join an enterprise
thumbs up,a sign of acceptance approval or encouragement made with closed fingers and the thumb extended upwards
thus far into the bowels of the land,the dark interior of the earth
ticked off,chastised told off or in a separate us meaning annoyed theres also the literal meaning of ticked off  when ticks are placed against a list of items as they are noted
tickle the ivories,play the piano
tide over,make a small allowance of money food etc last until stocks are replenished
tie the knot,get married
till the cows come home,for a long but indefinite time
time and tide wait for no man,no one is so powerful that they can stop the march of time
tinkers damn,something that is insignificant or worthless
tilting at windmills,to tilt at windmills is to attack imaginary enemies
tissue of lies,a story  invented in order to deceive
tit for tat,a blow or some other retaliation in return for an injury from another
tits up,inoperative broken the term is also used to mean fallen over on ones back
to a t,if something is said to fit to a t it fits exactly properly precisely
to all intents and purposes,in effect for all practical purposes
to be or not to be that is the question,shakespeares line to be or not to be is usually interpreted as meaning is it better to live or to die
to beggar belief,to defy or go beyond what is believable
to boldly go where no man has gone before,this introductory text was spoken at the beginning of many star trek television episodes and films from 1966 onward
to boot,moreover in addition to
to cast the first stone,be the first to attack a sinner the implication in jesus teaching was that the members of the congregation were only in a position to condemn a sinner if they were without sin themselves  in other words judge not lest you be judged
to err is human to forgive divine,a proverb expressing the idea that forgiveness is a worthy response to human failings
to gild refined gold to paint the lily,to apply unnecessary ornament  to over embellish
to sleep perchance to dream ay theres the rub,this line is from the celebrated to be or not to be speech in shakespeares hamlet 1602
to the manner born,destined to be suited to something by virtue of birth or custom and practise
to the nth degree,to the utmost degree without limit
to travel hopefully is a better thing than to arrive,hope and anticipation are often better than reality
toast of the town,a person who is widely admired
toe the line,to conform to an established standard or political programme
tommy atkins,a generic name for a british private soldier
tomorrow is another day,tomorrow is another day is famous for being the last line of margaret mitchellss american civil war novel gone with the wind 1936
tongue in cheek,in an ironic manner not meant to be taken seriously
too big for your breeches,conceited having a too high opinion of oneself
too much of a good thing,excess may do you harm
tooth and nail,a fight undertaken with all ones efforts and with the intensity of a wild animal
top dog,one who is dominant or victorious
top drawer,of the best quality of the highest social standing
total shambles,a scene of disorder a ruin a mess
touch and go,a risky precarious or delicate case or state of things  such that the slightest change could prove disastrous
touch with a bargepole  wouldnt,said of something or someone so unappealing that one wouldnt want to go anywhere near
touch wood,"this
phrase is used by people who rap their knuckles on a piece of wood hoping to stave off bad luck in the uk the phrase touch wood is used  often jokingly by tapping ones head the phrases are sometimes spoken when a person is already experiencing some good fortune and hope that it will continue  for example ive been winning on every race  touch wood"
tout de suite,at once
tower of strength,someone who can be relied on to provide support and comfort
train surfing,surfing aka surfboarding is in its literal meaning the riding of a wave while standing or lying on a surfboard
trick or treat,trick or treat is the ultimatum given to householders by children who call on houses to solicit gifts at halloween
trip the light fantastic,to dance especially in an imaginative or fantastic manner
true blue,loyal and unwavering in ones opinions or support for a cause
truth is stranger than fiction,literal meaning
truth will out,the truth will become known eventually
turkeys voting for christmas,turkeys voting for christmas is used to describe people acting in a way that  is harmful to their own interests
turn a blind eye,to turn a blind eye is to knowingly refuse to acknowledge something which you know to be real
turn of phrase,a distinctive spoken or written expression
turn the tables,reverse the positions of adversaries the phrases is often used when the weaker position subsequently becomes dominant
turn up for the books,an unexpected piece of good fortune
turn up trumps,to turn out well or successfully
twelve good men and true,a jury
twenty three skidoo,go away  scram
twenty four seven,"all of the time  twenty four hoursday and seven
daysweek"
two cents worth,an individuals opinion
two heads are better than one,two people may be able to solve a problem that an individual cannot
two peas in a pod,two peas in a pod are two identical items or people
under the thumb,completely under someones control
under your hat  keep it,keep it secret
under the auspices of,under the control or protection of someone or some group
get  underway,begin a journey or a project
under wraps,a thing is under wraps if it is concealed from public view with only a few insiders being aware of it
uneasy lies the head that wears a crown,the expression uneasy lies the head that wears a crown means that a person with great power such as a king is constantly apprehensive
union jack,the union jack is the popular name of the national flag of the united kingdom
the great  unwashed,the common lower classes the hoi polloi
the  unkindest cut of all,"brutus was
caesars close and trusted friend to be stabbed by him was even more hurtful than by those who he was less intimate"
up a blind alley,following a course of action that leads to no good outcome
